trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
Love Is a Bitch;Two Feet;2019-12-21 12:57;49568;6MiVIH3fQlmz44jGx2DXn4;77;181466;2017-05-19;spotify:track:6MiVIH3fQlmz44jGx2DXn4;0.614;0.532;0.178;0.0541;0.14;0.0985;0.103;-9.754;3;9;0;181467;spotify:track:6MiVIH3fQlmz44jGx2DXn4;6MiVIH3fQlmz44jGx2DXn4
40°;Novvel;2020-03-17 11:34;138552;5qldPZVkyi0j8chUrqMLbU;30;205352;2020-03-06;spotify:track:5qldPZVkyi0j8chUrqMLbU;0.681;0.601;0.503;0.331;0.000347;0.126;0.329;-7.821;4;3;0;205352;spotify:track:5qldPZVkyi0j8chUrqMLbU;5qldPZVkyi0j8chUrqMLbU
Pressure;Muse;2020-03-18 00:48;720;3eSyMBd7ERw68NVB3jlRmW;66;235600;2018-11-09;spotify:track:3eSyMBd7ERw68NVB3jlRmW;0.00342;0.622;0.842;0.0609;0.00014;0.0575;0.724;-3.678;4;11;0;235600;spotify:track:3eSyMBd7ERw68NVB3jlRmW;3eSyMBd7ERw68NVB3jlRmW
Pressure;Muse;2020-03-18 00:52;235600;3eSyMBd7ERw68NVB3jlRmW;66;235600;2018-11-09;spotify:track:3eSyMBd7ERw68NVB3jlRmW;0.00342;0.622;0.842;0.0609;0.00014;0.0575;0.724;-3.678;4;11;0;235600;spotify:track:3eSyMBd7ERw68NVB3jlRmW;3eSyMBd7ERw68NVB3jlRmW
Burn the Witch;Radiohead;2020-03-18 00:55;220609;3DpuYpzkvUWXbmzCm6pfzR;58;220609;2016-05-08;spotify:track:3DpuYpzkvUWXbmzCm6pfzR;0.303;0.54;0.847;0.0297;0.272;0.109;0.62;-6.52;4;11;1;220609;spotify:track:3DpuYpzkvUWXbmzCm6pfzR;3DpuYpzkvUWXbmzCm6pfzR
Your Eyes Open;Keane;2020-03-18 00:59;202466;4rsFRu5iwbm7lswQtyQXRY;48;202466;2004-05-10;spotify:track:4rsFRu5iwbm7lswQtyQXRY;0.000345;0.537;0.776;0.029;8.39e-05;0.315;0.541;-5.715;4;7;1;202467;spotify:track:4rsFRu5iwbm7lswQtyQXRY;4rsFRu5iwbm7lswQtyQXRY
F.O.D.;Green Day;2020-03-18 01:02;170759;409hGnupGUeqjzpv4Ycs3g;55;170759;1994-02-01;spotify:track:409hGnupGUeqjzpv4Ycs3g;0.0341;0.404;0.322;0.0582;2.31e-05;0.123;0.776;-10.904;4;1;1;170760;spotify:track:409hGnupGUeqjzpv4Ycs3g;409hGnupGUeqjzpv4Ycs3g
Sweater Weather - Spotify Sessions Curated by Jim Eno;The Neighbourhood;2020-03-18 01:13;108284;7sDzAu7alAL1hWvL86tSGB;53;191560;2013-06-18;spotify:track:7sDzAu7alAL1hWvL86tSGB;0.981;0.61;0.165;0.0502;0.000544;0.134;0.258;-14.659;4;8;1;191560;spotify:track:7sDzAu7alAL1hWvL86tSGB;7sDzAu7alAL1hWvL86tSGB
Sweater Weather - Spotify Sessions Curated by Jim Eno;The Neighbourhood;2020-03-19 00:50;83593;7sDzAu7alAL1hWvL86tSGB;53;191560;2013-06-18;spotify:track:7sDzAu7alAL1hWvL86tSGB;0.981;0.61;0.165;0.0502;0.000544;0.134;0.258;-14.659;4;8;1;191560;spotify:track:7sDzAu7alAL1hWvL86tSGB;7sDzAu7alAL1hWvL86tSGB
Bliss;Muse;2020-03-19 00:54;251146;0j3obufLXq5toSs592dX9U;58;251146;2001;spotify:track:0j3obufLXq5toSs592dX9U;0.000258;0.447;0.8;0.047;0.00206;0.113;0.251;-9.482;4;0;0;251147;spotify:track:0j3obufLXq5toSs592dX9U;0j3obufLXq5toSs592dX9U
Bend & Break;Keane;2020-03-19 00:58;220133;4mPiTSD96K4Dha1irhqpW3;57;220133;2004-05-10;spotify:track:4mPiTSD96K4Dha1irhqpW3;0.000738;0.467;0.839;0.0295;1.99e-05;0.121;0.518;-3.584;4;4;1;220133;spotify:track:4mPiTSD96K4Dha1irhqpW3;4mPiTSD96K4Dha1irhqpW3
Everybody Hurts;R.E.M.;2020-03-19 01:03;320266;6PypGyiu0Y2lCDBN1XZEnP;76;320266;1992-10-05;spotify:track:6PypGyiu0Y2lCDBN1XZEnP;0.615;0.467;0.324;0.0255;0.0248;0.118;0.166;-10.451;3;2;1;320267;spotify:track:6PypGyiu0Y2lCDBN1XZEnP;6PypGyiu0Y2lCDBN1XZEnP
Israel's Son;Silverchair;2020-03-19 01:14;32940;4gAV3sMEZn4lrfKPGARCqA;53;318320;1995-03-27;spotify:track:4gAV3sMEZn4lrfKPGARCqA;0.000762;0.209;0.841;0.0621;3.6e-05;0.0998;0.396;-4.579;4;7;1;318321;spotify:track:4gAV3sMEZn4lrfKPGARCqA;4gAV3sMEZn4lrfKPGARCqA
Seconda Pelle;Tiziano Ferro;2020-03-20 10:45;230733;7HnOZOjab4F4Z2hjEz0hk7;31;215680;2019-11-22;spotify:track:7HnOZOjab4F4Z2hjEz0hk7;0.0617;0.49;0.633;0.146;0;0.0882;0.143;-5.364;4;4;0;215680;spotify:track:7HnOZOjab4F4Z2hjEz0hk7;7HnOZOjab4F4Z2hjEz0hk7
Solo per te;Negramaro;2020-03-20 10:49;244692;18skJuHmw8sl9kQPboPJGI;44;244692;2006-05-26;spotify:track:18skJuHmw8sl9kQPboPJGI;0.952;0.382;0.199;0.051;0;0.105;0.183;-9.778;4;6;0;244692;spotify:track:18skJuHmw8sl9kQPboPJGI;18skJuHmw8sl9kQPboPJGI
Ridere;Pinguini Tattici Nucleari;2020-03-20 10:53;214733;5LZVK19ieaV8Mk9FsqTL3F;69;214733;2020-02-07;spotify:track:5LZVK19ieaV8Mk9FsqTL3F;0.0493;0.713;0.902;0.0378;0;0.0781;0.72;-3.009;4;9;1;214733;spotify:track:5LZVK19ieaV8Mk9FsqTL3F;5LZVK19ieaV8Mk9FsqTL3F
Che fantastica storia è la vita;Antonello Venditti;2020-03-20 10:59;358000;5nRDOsITlnO6fAEJBd8lef;55;358000;2003-09-22;spotify:track:5nRDOsITlnO6fAEJBd8lef;0.0773;0.568;0.638;0.0246;4.11e-06;0.157;0.233;-6.311;4;9;1;358000;spotify:track:5nRDOsITlnO6fAEJBd8lef;5nRDOsITlnO6fAEJBd8lef
Rimini;Fadi;2020-03-20 11:05;306969;6GUx1hwylMLh3I8oujgllx;28;254986;2019-04-26;spotify:track:6GUx1hwylMLh3I8oujgllx;0.919;0.476;0.239;0.0373;0.0014;0.0746;0.176;-11.316;3;7;1;254987;spotify:track:6GUx1hwylMLh3I8oujgllx;6GUx1hwylMLh3I8oujgllx
Cleptomania;Sugarfree;2020-03-20 11:05;1645;5zo7EkNUkhM7nDYpQG8p4C;47;237506;2005-05-06;spotify:track:5zo7EkNUkhM7nDYpQG8p4C;0.00338;0.561;0.806;0.0236;0;0.0713;0.419;-4.783;4;2;1;237506;spotify:track:5zo7EkNUkhM7nDYpQG8p4C;5zo7EkNUkhM7nDYpQG8p4C
Gli occhi;Frah Quintale;2020-03-20 11:05;0;7L7QYf7S6wg6pseN2C0d6K;57;142350;2017-11-24;spotify:track:7L7QYf7S6wg6pseN2C0d6K;0.382;0.661;0.544;0.0782;0;0.164;0.768;-7.528;4;4;1;142350;spotify:track:7L7QYf7S6wg6pseN2C0d6K;7L7QYf7S6wg6pseN2C0d6K
Bandiera Bianca - Remastered;Franco Battiato;2020-03-20 11:05;1048;4JzDx2m3FBjSStB1gLBRkK;52;325933;1981;spotify:track:4JzDx2m3FBjSStB1gLBRkK;0.61;0.774;0.542;0.0285;0.000307;0.108;0.642;-8.218;4;0;1;325933;spotify:track:4JzDx2m3FBjSStB1gLBRkK;4JzDx2m3FBjSStB1gLBRkK
