trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
The Lost Child;Anathema;2020-03-20 19:10;9969;1dH9mqDwpQ5LgjlI2DRAox;30;422773;2012-04-16;spotify:track:1dH9mqDwpQ5LgjlI2DRAox;0.232;0.117;0.277;0.0337;0.12;0.101;0.0441;-12.488;3;1;1;422773;spotify:track:1dH9mqDwpQ5LgjlI2DRAox;1dH9mqDwpQ5LgjlI2DRAox
The Lost Child;Anathema;2020-03-21 15:43;6480;1dH9mqDwpQ5LgjlI2DRAox;30;422773;2012-04-16;spotify:track:1dH9mqDwpQ5LgjlI2DRAox;0.232;0.117;0.277;0.0337;0.12;0.101;0.0441;-12.488;3;1;1;422773;spotify:track:1dH9mqDwpQ5LgjlI2DRAox;1dH9mqDwpQ5LgjlI2DRAox
The Lost Child;Anathema;2020-03-21 16:56;27560;1dH9mqDwpQ5LgjlI2DRAox;30;422773;2012-04-16;spotify:track:1dH9mqDwpQ5LgjlI2DRAox;0.232;0.117;0.277;0.0337;0.12;0.101;0.0441;-12.488;3;1;1;422773;spotify:track:1dH9mqDwpQ5LgjlI2DRAox;1dH9mqDwpQ5LgjlI2DRAox
Dietro l'intima ragione;Blastema;2020-04-02 14:36;1556;3h16imtgNkxUDKOjoDTNye;11;212493;2013-02-12;spotify:track:3h16imtgNkxUDKOjoDTNye;0.0945;0.488;0.624;0.0354;0;0.0951;0.22;-6.738;4;2;1;212493;spotify:track:3h16imtgNkxUDKOjoDTNye;3h16imtgNkxUDKOjoDTNye
Tutto finira' bene;Blastema;2020-04-02 14:36;1742;69zULqRt2pE1vO98JtFNyB;9;223653;2015-10-30;spotify:track:69zULqRt2pE1vO98JtFNyB;0.00473;0.313;0.678;0.0338;0;0.117;0.192;-4.8;4;2;1;223653;spotify:track:69zULqRt2pE1vO98JtFNyB;69zULqRt2pE1vO98JtFNyB
Dietro l'intima ragione;Blastema;2020-04-02 14:42;354505;3h16imtgNkxUDKOjoDTNye;11;212493;2013-02-12;spotify:track:3h16imtgNkxUDKOjoDTNye;0.0945;0.488;0.624;0.0354;0;0.0951;0.22;-6.738;4;2;1;212493;spotify:track:3h16imtgNkxUDKOjoDTNye;3h16imtgNkxUDKOjoDTNye
Tutto finira' bene;Blastema;2020-04-02 14:42;23362;69zULqRt2pE1vO98JtFNyB;9;223653;2015-10-30;spotify:track:69zULqRt2pE1vO98JtFNyB;0.00473;0.313;0.678;0.0338;0;0.117;0.192;-4.8;4;2;1;223653;spotify:track:69zULqRt2pE1vO98JtFNyB;69zULqRt2pE1vO98JtFNyB
Nuvole e lenzuola;Negramaro;2020-04-02 14:45;199200;7odhtNbpziUkgh00RsjzHQ;46;199200;2006-05-26;spotify:track:7odhtNbpziUkgh00RsjzHQ;0.0727;0.525;0.923;0.0917;0;0.38;0.662;-3.873;4;11;0;199200;spotify:track:7odhtNbpziUkgh00RsjzHQ;7odhtNbpziUkgh00RsjzHQ
Ho Imparato A Sognare;Negrita;2020-04-02 14:46;62579;5NIg9rS2qt35MsK3pxnny0;52;253666;1997;spotify:track:5NIg9rS2qt35MsK3pxnny0;0.0525;0.368;0.596;0.0365;0;0.129;0.254;-9.278;3;3;1;253667;spotify:track:5NIg9rS2qt35MsK3pxnny0;5NIg9rS2qt35MsK3pxnny0
Ogni mio istante;Negramaro;2020-04-02 14:50;199376;3An2E7fW3onrNJCwJbiQGk;31;263240;2006-05-26;spotify:track:3An2E7fW3onrNJCwJbiQGk;0.922;0.234;0.187;0.0362;9.82e-06;0.0964;0.143;-12.271;4;3;1;263240;spotify:track:3An2E7fW3onrNJCwJbiQGk;3An2E7fW3onrNJCwJbiQGk
Petalo;Moltheni;2020-04-02 14:53;199977;240lfFn0MhPPolTeae8KKz;10;213120;2009-11-15;spotify:track:240lfFn0MhPPolTeae8KKz;0.279;0.508;0.651;0.024;0.00712;0.173;0.541;-7.035;4;5;1;213120;spotify:track:240lfFn0MhPPolTeae8KKz;240lfFn0MhPPolTeae8KKz
Il circuito affascinante;Moltheni;2020-04-02 14:54;78166;6RRU3VvIgSiwgBBJqLvLHz;21;232693;2009-11-15;spotify:track:6RRU3VvIgSiwgBBJqLvLHz;0.1;0.594;0.776;0.0266;0.000887;0.132;0.757;-7.229;4;4;0;232693;spotify:track:6RRU3VvIgSiwgBBJqLvLHz;6RRU3VvIgSiwgBBJqLvLHz
In centro all'orgoglio;Moltheni;2020-04-02 14:59;248460;1xq4hduythn8PEKrQSSWIL;12;275160;2000-02-17;spotify:track:1xq4hduythn8PEKrQSSWIL;0.31;0.628;0.739;0.0292;0;0.0957;0.532;-7.49;4;4;1;275160;spotify:track:1xq4hduythn8PEKrQSSWIL;1xq4hduythn8PEKrQSSWIL
La Fabbrica Di Plastica;Gianluca Grignani;2020-04-02 15:06;223512;76Re5LxUQn6PwLE0n7ickY;18;246000;1996-01-01;spotify:track:76Re5LxUQn6PwLE0n7ickY;0.00015;0.286;0.715;0.0388;0.00228;0.274;0.376;-7.308;4;0;1;246000;spotify:track:76Re5LxUQn6PwLE0n7ickY;76Re5LxUQn6PwLE0n7ickY
Vecchi difetti - nuova versione;Marta Sui Tubi;2020-04-02 15:10;11163;2Yr1n78oNx0MOW8CghiifA;29;229373;2014-06-17;spotify:track:2Yr1n78oNx0MOW8CghiifA;0.421;0.347;0.44;0.0307;0;0.145;0.397;-9.088;3;1;0;229373;spotify:track:2Yr1n78oNx0MOW8CghiifA;2Yr1n78oNx0MOW8CghiifA
Dispari;Marta Sui Tubi;2020-04-02 15:10;220840;2Nj5zpHzF8jYWAWuV3eMsv;39;220840;2013-01-01;spotify:track:2Nj5zpHzF8jYWAWuV3eMsv;0.273;0.624;0.873;0.0429;0;0.104;0.699;-3.826;3;2;1;220840;spotify:track:2Nj5zpHzF8jYWAWuV3eMsv;2Nj5zpHzF8jYWAWuV3eMsv
Vorrei;Marta Sui Tubi;2020-04-02 15:11;12983;3qyqFgPZ2B5XH8gojNK3U1;35;182906;2013-01-01;spotify:track:3qyqFgPZ2B5XH8gojNK3U1;0.252;0.441;0.747;0.0448;2.47e-06;0.101;0.741;-4.478;3;1;1;182907;spotify:track:3qyqFgPZ2B5XH8gojNK3U1;3qyqFgPZ2B5XH8gojNK3U1
Vorrei;Marta Sui Tubi;2020-04-02 15:14;182906;3qyqFgPZ2B5XH8gojNK3U1;35;182906;2013-01-01;spotify:track:3qyqFgPZ2B5XH8gojNK3U1;0.252;0.441;0.747;0.0448;2.47e-06;0.101;0.741;-4.478;3;1;1;182907;spotify:track:3qyqFgPZ2B5XH8gojNK3U1;3qyqFgPZ2B5XH8gojNK3U1
Vagabond Home;Marta Sui Tubi;2020-04-02 15:15;0;5RZyLA1vWixSNWhfLYyQd0;8;225506;2013-01-01;spotify:track:5RZyLA1vWixSNWhfLYyQd0;0.144;0.292;0.616;0.0347;0.00618;0.208;0.381;-7.681;3;9;1;225507;spotify:track:5RZyLA1vWixSNWhfLYyQd0;5RZyLA1vWixSNWhfLYyQd0
Dietro l'intima ragione;Blastema;2020-04-02 15:18;167797;3h16imtgNkxUDKOjoDTNye;11;212493;2013-02-12;spotify:track:3h16imtgNkxUDKOjoDTNye;0.0945;0.488;0.624;0.0354;0;0.0951;0.22;-6.738;4;2;1;212493;spotify:track:3h16imtgNkxUDKOjoDTNye;3h16imtgNkxUDKOjoDTNye
Dietro l'intima ragione;Blastema;2020-04-09 08:24;123693;3h16imtgNkxUDKOjoDTNye;11;212493;2013-02-12;spotify:track:3h16imtgNkxUDKOjoDTNye;0.0945;0.488;0.624;0.0354;0;0.0951;0.22;-6.738;4;2;1;212493;spotify:track:3h16imtgNkxUDKOjoDTNye;3h16imtgNkxUDKOjoDTNye
Dietro l'intima ragione;Blastema;2020-04-09 08:29;295246;3h16imtgNkxUDKOjoDTNye;11;212493;2013-02-12;spotify:track:3h16imtgNkxUDKOjoDTNye;0.0945;0.488;0.624;0.0354;0;0.0951;0.22;-6.738;4;2;1;212493;spotify:track:3h16imtgNkxUDKOjoDTNye;3h16imtgNkxUDKOjoDTNye
Dispari;Marta Sui Tubi;2020-04-09 08:33;220840;2Nj5zpHzF8jYWAWuV3eMsv;39;220840;2013-01-01;spotify:track:2Nj5zpHzF8jYWAWuV3eMsv;0.273;0.624;0.873;0.0429;0;0.104;0.699;-3.826;3;2;1;220840;spotify:track:2Nj5zpHzF8jYWAWuV3eMsv;2Nj5zpHzF8jYWAWuV3eMsv
I Nostri Segreti;Marta Sui Tubi;2020-04-09 08:37;216626;2ow8VxCVbFpak0VfpVEj9s;17;216626;2013-01-01;spotify:track:2ow8VxCVbFpak0VfpVEj9s;0.106;0.653;0.715;0.0304;0.000455;0.104;0.54;-7.02;3;7;1;216627;spotify:track:2ow8VxCVbFpak0VfpVEj9s;2ow8VxCVbFpak0VfpVEj9s
Vorrei;Marta Sui Tubi;2020-04-09 08:38;72625;3qyqFgPZ2B5XH8gojNK3U1;35;182906;2013-01-01;spotify:track:3qyqFgPZ2B5XH8gojNK3U1;0.252;0.441;0.747;0.0448;2.47e-06;0.101;0.741;-4.478;3;1;1;182907;spotify:track:3qyqFgPZ2B5XH8gojNK3U1;3qyqFgPZ2B5XH8gojNK3U1
La Fabbrica Di Plastica;Gianluca Grignani;2020-04-09 08:45;246000;76Re5LxUQn6PwLE0n7ickY;18;246000;1996-01-01;spotify:track:76Re5LxUQn6PwLE0n7ickY;0.00015;0.286;0.715;0.0388;0.00228;0.274;0.376;-7.308;4;0;1;246000;spotify:track:76Re5LxUQn6PwLE0n7ickY;76Re5LxUQn6PwLE0n7ickY
Più Famoso Di Gesù;Gianluca Grignani;2020-04-09 08:46;34010;732QUzuGJVOIvPzBLcCBvQ;12;199893;1996-01-01;spotify:track:732QUzuGJVOIvPzBLcCBvQ;0.000259;0.523;0.813;0.0389;0.587;0.128;0.744;-6.735;4;0;1;199893;spotify:track:732QUzuGJVOIvPzBLcCBvQ;732QUzuGJVOIvPzBLcCBvQ
Il circuito affascinante;Moltheni;2020-04-09 08:50;237580;6RRU3VvIgSiwgBBJqLvLHz;21;232693;2009-11-15;spotify:track:6RRU3VvIgSiwgBBJqLvLHz;0.1;0.594;0.776;0.0266;0.000887;0.132;0.757;-7.229;4;4;0;232693;spotify:track:6RRU3VvIgSiwgBBJqLvLHz;6RRU3VvIgSiwgBBJqLvLHz
Vita rubina;Moltheni;2020-04-09 08:56;375160;1c2H3FTghGQ3WwIv07QgA1;18;375160;2008-10-10;spotify:track:1c2H3FTghGQ3WwIv07QgA1;0.592;0.522;0.692;0.0257;0.64;0.115;0.188;-6.579;4;2;0;375160;spotify:track:1c2H3FTghGQ3WwIv07QgA1;1c2H3FTghGQ3WwIv07QgA1
Gli anni del malto;Moltheni;2020-04-09 09:00;224626;5ZiOZjIMJLWiJbHY00hRmi;10;224626;2008-10-10;spotify:track:5ZiOZjIMJLWiJbHY00hRmi;0.189;0.445;0.745;0.0273;0.015;0.0943;0.648;-5.292;3;5;1;224627;spotify:track:5ZiOZjIMJLWiJbHY00hRmi;5ZiOZjIMJLWiJbHY00hRmi
Che il destino possa riunire ciò che il mare ha separato;Moltheni;2020-04-09 09:04;270653;5qeWR4xv4Uf9XSZwgLBy1F;7;270653;2008-10-10;spotify:track:5qeWR4xv4Uf9XSZwgLBy1F;0.262;0.326;0.564;0.0316;0.862;0.0796;0.158;-8.377;3;1;1;270653;spotify:track:5qeWR4xv4Uf9XSZwgLBy1F;5qeWR4xv4Uf9XSZwgLBy1F
