trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
Secret Smile;Semisonic;2020-03-05 17:18;230670;1OhctVvuAU8kVCtzDWsCTj;60;279813;1998-03-24;spotify:track:1OhctVvuAU8kVCtzDWsCTj;0.289;0.551;0.516;0.027;0.00015;0.0853;0.547;-9.587;4;10;0;279813;spotify:track:1OhctVvuAU8kVCtzDWsCTj;1OhctVvuAU8kVCtzDWsCTj
Home;Depeche Mode;2020-04-30 16:05;342893;5lRgR82emb03dbXoGfhBYG;52;342893;1997-04-14;spotify:track:5lRgR82emb03dbXoGfhBYG;0.0791;0.468;0.725;0.0312;0.00478;0.0774;0.452;-7.77;4;1;1;342893;spotify:track:5lRgR82emb03dbXoGfhBYG;5lRgR82emb03dbXoGfhBYG
Lovesong - Remastered;The Cure;2020-04-30 16:10;208266;2mIrfke7vosXAEWfz6ucyo;67;208266;1989-05-02;spotify:track:2mIrfke7vosXAEWfz6ucyo;0.326;0.611;0.791;0.0286;0.862;0.217;0.856;-7.7;4;9;0;208267;spotify:track:2mIrfke7vosXAEWfz6ucyo;2mIrfke7vosXAEWfz6ucyo
World Shut Your Mouth;Julian Cope;2020-04-30 16:13;215000;2GF0D3d6LKIsDnk8ufpBQa;47;215000;1987;spotify:track:2GF0D3d6LKIsDnk8ufpBQa;0.0128;0.642;0.82;0.0619;1.16e-06;0.299;0.782;-6.789;4;9;0;215000;spotify:track:2GF0D3d6LKIsDnk8ufpBQa;2GF0D3d6LKIsDnk8ufpBQa
Brimful of Asha (Norman Cook Remix) (Single Version);Cornershop;2020-04-30 16:17;243666;3gWZ8TJ6oIpJWQBfrUOksW;63;243666;1997-08-18;spotify:track:3gWZ8TJ6oIpJWQBfrUOksW;0.217;0.685;0.935;0.0574;0;0.0964;0.936;-3.912;4;11;1;243667;spotify:track:3gWZ8TJ6oIpJWQBfrUOksW;3gWZ8TJ6oIpJWQBfrUOksW
Private Idaho;The B-52's;2020-04-30 16:21;216200;0Y87qqNyXLEwv7VNBQ6Thq;42;216200;1980;spotify:track:0Y87qqNyXLEwv7VNBQ6Thq;0.0245;0.572;0.771;0.0434;4.04e-05;0.315;0.891;-11.455;4;11;0;216200;spotify:track:0Y87qqNyXLEwv7VNBQ6Thq;0Y87qqNyXLEwv7VNBQ6Thq
Crystal;New Order;2020-04-30 16:29;410026;7JvTheiFwSaMFXFEbHnStK;55;410026;2001-06-18;spotify:track:7JvTheiFwSaMFXFEbHnStK;0.000728;0.517;0.893;0.0308;0.495;0.0744;0.248;-5.028;4;6;1;410027;spotify:track:7JvTheiFwSaMFXFEbHnStK;7JvTheiFwSaMFXFEbHnStK
That's When I Reach For My Revolver;Mission Of Burma;2020-04-30 16:33;233573;3bSKHihztyH9D1ZyQsoqzI;50;233573;1981;spotify:track:3bSKHihztyH9D1ZyQsoqzI;0.00194;0.3;0.915;0.049;0.000332;0.147;0.51;-5.691;4;4;1;233573;spotify:track:3bSKHihztyH9D1ZyQsoqzI;3bSKHihztyH9D1ZyQsoqzI
Just Like Heaven;The Cure;2020-04-30 16:36;212013;4NnWuGQujzWUEg0uZokO5M;71;212013;1987-01-01;spotify:track:4NnWuGQujzWUEg0uZokO5M;0.0524;0.437;0.94;0.0426;0.000573;0.222;0.48;-6.946;4;9;1;212013;spotify:track:4NnWuGQujzWUEg0uZokO5M;4NnWuGQujzWUEg0uZokO5M
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version;Buzzcocks;2020-04-30 16:39;163693;5YUJMvTg4AWHKjqQidTsGK;65;163693;1978;spotify:track:5YUJMvTg4AWHKjqQidTsGK;0.000862;0.266;0.831;0.0453;0;0.0555;0.778;-9.07;4;4;1;163693;spotify:track:5YUJMvTg4AWHKjqQidTsGK;5YUJMvTg4AWHKjqQidTsGK
