trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
End of Time;K-391;2020-03-19 11:05;187560;67O8CWXxPsfz8orZVGMQwf;74;187560;2020-03-06;spotify:track:67O8CWXxPsfz8orZVGMQwf;0.267;0.81;0.7;0.0399;6.69e-05;0.137;0.193;-5.664;4;4;0;187560;spotify:track:67O8CWXxPsfz8orZVGMQwf;67O8CWXxPsfz8orZVGMQwf
Falling;Harry Styles;2020-03-19 11:09;240133;1ZMiCix7XSAbfAJlEZWMCp;87;240133;2019-12-13;spotify:track:1ZMiCix7XSAbfAJlEZWMCp;0.839;0.567;0.267;0.0299;1.46e-06;0.089;0.0592;-6.502;4;4;1;240133;spotify:track:1ZMiCix7XSAbfAJlEZWMCp;1ZMiCix7XSAbfAJlEZWMCp
Drown (feat. Clinton Kane);Martin Garrix;2020-03-19 11:12;174062;4RVtBlHFKj51Ipvpfv5ER4;77;174062;2020-02-27;spotify:track:4RVtBlHFKj51Ipvpfv5ER4;0.212;0.573;0.739;0.0581;0;0.175;0.363;-5.455;4;9;1;174062;spotify:track:4RVtBlHFKj51Ipvpfv5ER4;4RVtBlHFKj51Ipvpfv5ER4
Light It Up;Robin Hustin;2020-03-19 11:13;1130;6ibayfvVOby1NSKJFohtZp;66;185390;2018-08-10;spotify:track:6ibayfvVOby1NSKJFohtZp;0.0037;0.671;0.949;0.0829;3.83e-05;0.374;0.0724;-2.44;4;7;0;185391;spotify:track:6ibayfvVOby1NSKJFohtZp;6ibayfvVOby1NSKJFohtZp
Me And My Broken Heart;Rixton;2020-03-19 11:20;193733;1oew3nFNY3vMacJAsvry0S;79;193733;2014-01-01;spotify:track:1oew3nFNY3vMacJAsvry0S;0.00489;0.545;0.783;0.0345;0;0.132;0.551;-4.261;4;5;0;193733;spotify:track:1oew3nFNY3vMacJAsvry0S;1oew3nFNY3vMacJAsvry0S
Merry Christmas Mr. Lawrence;Ryuichi Sakamoto;2020-03-19 11:24;288655;5VuwAhMCz9EMg3RHL1KUEr;59;286466;1996-06-04;spotify:track:5VuwAhMCz9EMg3RHL1KUEr;0.949;0.493;0.175;0.036;0.777;0.112;0.278;-18.049;4;10;0;286467;spotify:track:5VuwAhMCz9EMg3RHL1KUEr;5VuwAhMCz9EMg3RHL1KUEr
Secrets;OneRepublic;2020-03-19 11:28;224693;1NhPKVLsHhFUHIOZ32QnS2;77;224693;2009-01-01;spotify:track:1NhPKVLsHhFUHIOZ32QnS2;0.0717;0.516;0.764;0.0366;0;0.115;0.376;-6.223;4;2;1;224693;spotify:track:1NhPKVLsHhFUHIOZ32QnS2;1NhPKVLsHhFUHIOZ32QnS2
You Say;Lauren Daigle;2020-03-19 11:33;274693;6Up545NUflOiXo8cEraH49;78;274693;2018-09-07;spotify:track:6Up545NUflOiXo8cEraH49;0.682;0.494;0.632;0.0342;0;0.0869;0.0797;-6.89;4;5;1;274693;spotify:track:6Up545NUflOiXo8cEraH49;6Up545NUflOiXo8cEraH49
Forever Yours - Avicii Tribute;Kygo;2020-03-19 11:36;193846;3o1CUVeHIid49sabk6A6Nf;68;193846;2020-01-24;spotify:track:3o1CUVeHIid49sabk6A6Nf;0.253;0.529;0.612;0.052;0;0.246;0.434;-8.794;4;10;1;193847;spotify:track:3o1CUVeHIid49sabk6A6Nf;3o1CUVeHIid49sabk6A6Nf
929;Halsey;2020-03-19 11:39;174806;1ed6Wdjk7gkxI2lIYjAoJ2;58;174806;2020-01-17;spotify:track:1ed6Wdjk7gkxI2lIYjAoJ2;0.935;0.642;0.317;0.155;0;0.207;0.617;-9.325;4;9;1;174806;spotify:track:1ed6Wdjk7gkxI2lIYjAoJ2;1ed6Wdjk7gkxI2lIYjAoJ2
